"","city","state","city_size","mode","n","percent","moe","state_abb","state_region","city_state","lon","lat"
"1083","Quincy city","Illinois","Small","Bike",31,0.2,0.2,"IL","North Central","Quincy city, Illinois",-91.4098726,39.9356016
"1084","Quincy city","Massachusetts","Small","Bike",70,0.1,0.1,"MA","Northeast","Quincy city, Massachusetts",-71.0022705,42.2528772
"1085","Racine city","Wisconsin","Small","Bike",89,0.3,0.3,"WI","North Central","Racine city, Wisconsin",-87.7828523,42.7261309
"1086","Radcliff city","Kentucky","Small","Bike",7,0.1,0.1,"KY","South","Radcliff city, Kentucky",-85.9491298,37.8403456
"1087","Rahway city","New Jersey","Small","Bike",13,0.1,0.1,"NJ","Northeast","Rahway city, New Jersey",-74.2776468,40.6081591
"1088","Ramsey city","Minnesota","Small","Bike",17,0.1,0.2,"MN","North Central","Ramsey city, Minnesota",-93.45,45.2611
"1089","Rancho Cordova city","California","Small","Bike",229,0.8,0.4,"CA","West","Rancho Cordova city, California",-121.302728,38.5890723
"1090","Rancho Palos Verdes city","California","Small","Bike",24,0.1,0.2,"CA","West","Rancho Palos Verdes city, California",-118.3870173,33.7444613
"1091","Rancho Santa Margarita city","California","Small","Bike",47,0.2,0.2,"CA","West","Rancho Santa Margarita city, California",-117.602832,33.640171
"1092","Rapid City city","South Dakota","Small","Bike",225,0.7,0.3,"SD","North Central","Rapid City city, South Dakota",-103.2310149,44.0805434
"1093","Raytown city","Missouri","Small","Bike",0,0,0.2,"MO","North Central","Raytown city, Missouri",-94.4635638,39.0086171
"1094","Reading city","Pennsylvania","Small","Bike",186,0.6,0.3,"PA","Northeast","Reading city, Pennsylvania",-75.9268747,40.3356483
"1095","Redding city","California","Small","Bike",349,1,0.4,"CA","West","Redding city, California",-122.3916754,40.5865396
"1096","Redlands city","California","Small","Bike",426,1.4,0.7,"CA","West","Redlands city, California",-117.1825381,34.0555693
"1097","Redmond city","Oregon","Small","Bike",64,0.6,0.6,"OR","West","Redmond city, Oregon",-121.1739212,44.2726203
"1098","Redmond city","Washington","Small","Bike",359,1.2,0.5,"WA","West","Redmond city, Washington",-122.121512,47.6739881
"1099","Redondo Beach city","California","Small","Bike",482,1.3,0.5,"CA","West","Redondo Beach city, California",-118.3884078,33.8491816
"1100","Redwood City city","California","Small","Bike",642,1.7,0.6,"CA","West","Redwood City city, California",-122.2363548,37.4852152
"1101","Reedley city","California","Small","Bike",76,0.8,0.6,"CA","West","Reedley city, California",-119.4504029,36.5963395
"1102","Renton city","Washington","Small","Bike",71,0.1,0.1,"WA","West","Renton city, Washington",-122.2079218,47.4796927
"1103","Revere city","Massachusetts","Small","Bike",27,0.1,0.1,"MA","Northeast","Revere city, Massachusetts",-71.0119948,42.4084302
"1104","Rexburg city","Idaho","Small","Bike",486,4.5,1.6,"ID","West","Rexburg city, Idaho",-111.7924237,43.8231096
"1105","Reynoldsburg city","Ohio","Small","Bike",18,0.1,0.2,"OH","North Central","Reynoldsburg city, Ohio",-82.8121191,39.9547861
"1106","Richfield city","Minnesota","Small","Bike",158,0.8,0.4,"MN","North Central","Richfield city, Minnesota",-93.2830021,44.8832982
"1107","Richland city","Washington","Small","Bike",175,0.8,0.4,"WA","West","Richland city, Washington",-119.2751996,46.28042
"1108","Richmond city","Indiana","Small","Bike",62,0.4,0.4,"IN","North Central","Richmond city, Indiana",-84.8902382,39.8289369
"1109","Richmond city","Kentucky","Small","Bike",278,1.9,1.4,"KY","South","Richmond city, Kentucky",-84.2946539,37.7478572
"1110","Ridgecrest city","California","Small","Bike",195,1.6,0.8,"CA","West","Ridgecrest city, California",-117.6708966,35.6224561
"1111","Ridgeland city","Mississippi","Small","Bike",17,0.1,0.2,"MS","South","Ridgeland city, Mississippi",-90.1323087,32.4284761
"1112","Ridgewood village","New Jersey","Small","Bike",11,0.1,0.2,"NJ","Northeast","Ridgewood village, New Jersey",-74.1165313,40.9792645
"1113","Rio Rancho city","New Mexico","Small","Bike",153,0.4,0.2,"NM","West","Rio Rancho city, New Mexico",-106.6630437,35.2327544
"1114","Riverbank city","California","Small","Bike",8,0.1,0.2,"CA","West","Riverbank city, California",-120.9354895,37.7360396
"1115","Riverside city","Ohio","Small","Bike",0,0,0.3,"OH","North Central","Riverside city, Ohio",-84.1241047,39.779781
